Extension,DeviceName,DeviceType,MacAddress,Registered,UserAgent
6210,TA700-fBb4Baf572da,Yeastar-c14811-TA200,FBB4BaF572Da,TRUE,NOC8_YeastarT800 44.19.0.30
6211,TA700-fBb4Baf572da,Yeastar-c14811-TA200,FBB4BaF572Da,TRUE,NOC8_YeastarT800 44.19.0.30
1001,soft-TA1500ATA,Generic SIP Phone-c14811,null,TRUE,9E37TA1600 47.0.0.30
1002,soft-TA1500ATA,Generic SIP Phone-c14811,null,TRUE,9E37TA1600 47.0.0.30
1003,soft-TA1500ATA,Generic SIP Phone-c14811,null,TRUE,9E37TA1600 47.0.0.30
1004,soft-TA1500ATA,Generic SIP Phone-c14811,null,TRUE,9E37TA1600 47.0.0.30
1005,soft-TA1500ATA,Generic SIP Phone-c14811,null,TRUE,9E37TA1600 47.0.0.30
134,IPB40-000BF77CAB7a,Polycom_c14811_SPIP450,000BF77CAB7a,TRUE,PolycomSoundPointIP-SPIP_450-UA/4.0.14.0987
134,20aB42C2-BB5d-BBb2-a25b-4Cace0afBd7B,Connect - Mobile,4Cace0afBd7B,FALSE,
134,a40CfbaC-17BB-B247-b7Cf-b4d1af1a415B,Business Communicator - PC,b4d1af1a415B,FALSE,
134,7dbfe005-c045-B7f0-acd5-dac1a72C5CCc,Connect - Tablet,dac1a72C5CCc,FALSE,
148,IPB40-000BF77CA170,Polycom_c14811_SPIP450,000BF77CA170,TRUE,PolycomSoundPointIP-SPIP_450-UA/4.0.14.0987
148,05cCBaff-0a45-BdaC-b5a7-57BeBaBdaB0e,Connect - Mobile,57BeBaBdaB0e,FALSE,
148,Bfb72750-bafB-BaCC-a5fe-57ab4a1dceC7,Business Communicator - PC,57ab4a1dceC7,TRUE,bc-uc - UC-One (3.9.31.35 Windows 10)
148,dac5B772-faC4-B425-bca4-c75C55157Bbe,Connect - Tablet,c75C55157Bbe,FALSE,
182,IP271-000BF71BAA7F,Polycom_c14811_SPIP321,000BF71BAA7F,TRUE,PolycomSoundPointIP-SPIP_320-UA/3.3.5.0247
